duration,total_bytes,total_packets,avg_packet_size,packet_rate,byte_rate,protocol
76,80000000.00000012,1999999.999999999,40.00000000000008,26315.7894736842,1052631.57894737,CHAT
54,79999999.99999991,1999999.999999998,40.0,37037.037037037,1481481.48148148,CHAT
67,80000000.00000009,1999999.999999999,40.000000000000064,29850.7462686567,1194029.85074627,CHAT
75,80000000.00000025,2000000.0000000026,40.00000000000008,26666.6666666667,1066666.66666667,CHAT
14512571,119999999.99974243,2999999.999667028,40.00000000435377,0.2067173349,8.2686933969,CHAT
41,79999999.99999993,2000000.0000000023,39.999999999999915,48780.4878048781,1951219.51219512,CHAT
71,79999999.99999988,1999999.999999997,40.0,28169.014084507,1126760.56338028,CHAT
60,79999999.9999998,1999999.999999998,39.99999999999994,33333.3333333333,1333333.33333333,CHAT
76,80000000.00000012,1999999.999999999,40.00000000000008,26315.7894736842,1052631.57894737,CHAT
69,79999999.99999982,1999999.9999999993,39.99999999999992,28985.5072463768,1159420.28985507,CHAT
13302587,119999999.99999991,3000000.0002327934,39.99999999689606,0.2255200436,9.0208017433,CHAT
70,79999999.99999979,2000000.000000002,39.99999999999985,28571.4285714286,1142857.14285714,CHAT
59005696,132666000000.0006,290000000.000672,457.4689655161834,4.9147797528,2248.3592092533,CHAT
59844887,114245999999.99803,311999999.99762386,366.17307692585933,5.2134779701,1909.0352697967,CHAT
55964982,51202000000.000694,146999999.99788207,348.31292517509115,2.6266424958,914.8935311013,CHAT
58969629,74338000000.0019,166999999.9993596,445.1377245526166,2.8319662652,1260.6150193009,CHAT
36742476,21311000000.001766,58000000.00056204,367.4310344792285,1.5785544774,580.0099046129,CHAT
51746159,67652000000.00274,156000000.00092512,433.6666666641125,3.0147165126,1307.3820609565,CHAT
30077549,42139999999.99953,114999999.99886705,366.43478261230155,3.8234498429,1401.0450120121,CHAT
620945,13249000000.000006,27999999.999977402,473.1785714289535,45.0925605327,21336.8333749366,CHAT
30058560,171999999.99850348,3999999.999475872,43.00000000526024,0.1330735737,5.7221636698,CHAT
30056129,308000000.0007568,4000000.000751473,76.99999998572335,0.133084337,10.2474939471,CHAT
30059020,265999999.99859068,4000000.0011314456,66.49999998083739,0.1330715373,8.8492572279,CHAT
55305153,1254999999.997266,11999999.999925384,104.5833333337558,0.2169779731,22.6922796868,CHAT
59998742,422000000.0011511,5000000.000468605,84.39999999232016,0.0833350806,7.033480802,CHAT
59998751,218000000.00019798,5000000.000499943,43.59999999568009,0.0833350681,3.6334089688,CHAT
59998916,359000000.00148535,4999999.999034632,71.80000001415975,0.0833348389,5.9834414342,CHAT
59910544,3094999999.998244,37000000.00121593,83.64864864585225,0.6175874484,51.6603554793,CHAT
59939033,319000000.0010257,4000000.0011590314,79.74999997714824,0.0667344767,5.3220745153,CHAT
53965451,2948999999.998806,28999999.999168437,101.68965517528854,0.5373808513,54.6460734665,CHAT
59999418,212000000.00005275,5000000.001529531,42.39999998704013,0.0833341417,3.533367607,CHAT
59998477,348000000.0017731,5000000.00211163,69.59999997096074,0.0833354487,5.8001472271,CHAT
59979616,3090000000.002894,30000000.000261027,102.99999999920027,0.5001699244,51.5175022128,CHAT
59876863,306000000.00024766,5000000.002684808,61.19999996718748,0.0835047087,5.1104881697,CHAT
59999519,422000000.0015458,5000000.000345326,84.39999999448005,0.0833340014,7.0333897177,CHAT
59999497,217999999.99801213,5000000.002981904,43.59999997360022,0.083334032,3.633363793,CHAT
178583,85999999.99999525,1999999.999995321,43.00000000009822,11.199274287,481.5687943421,CHAT
30057237,266000000.00090978,4000000.000397871,66.49999999361285,0.1330794311,8.8497821673,CHAT
59945705,308000000.0009816,4000000.000869116,76.99999998351493,0.0667270491,5.1379827796,CHAT
59942524,171999999.99988925,3999999.9986034124,43.00000001498563,0.0667305901,2.8694153753,CHAT
59368287,3469999999.9979067,40000000.000899754,86.74999999799633,0.6737603866,58.4487135362,CHAT
30057485,266000000.0004303,4000000.0009782533,66.4999999838441,0.1330783331,8.849709149,CHAT
61057081,251999999.99757066,6000000.000087533,41.99999999898238,0.0982687004,4.1272854167,CHAT
52873782,3654000000.0008564,39000000.0016761,93.69230768830305,0.7376056436,69.1079749128,CHAT
59989818,348000000.0025633,4999999.999985113,69.60000000071989,0.0833474774,5.8009844271,CHAT
59999877,359000000.00049126,5000000.001978984,71.79999997168004,0.0833335042,5.9833455992,CHAT
53395513,1239999999.9988186,12999999.998743156,95.38461539374633,0.2434661504,23.2229251173,CHAT
